"Date","Day Number","Day","Month","Short Month","Calendar Month Number","Calendar Month Label","Calendar Year","Calendar Year Label","Fiscal Month Number","Fiscal Month Label","Fiscal Year","Fiscal Year Label","ISO Week Number"
"2013-01-01","1","1","January","Jan","1","CY2013-Jan","2013","CY2013","3","FY2013-Jan","2013","FY2013","1"
"2013-01-02","2","2","January","Jan","1","CY2013-Jan","2013","CY2013","3","FY2013-Jan","2013","FY2013","1"
"2013-01-03","3","3","January","Jan","1","CY2013-Jan","2013","CY2013","3","FY2013-Jan","2013","FY2013","1"
"2013-01-04","4","4","January","Jan","1","CY2013-Jan","2013","CY2013","3","FY2013-Jan","2013","FY2013","1"
"2013-01-05","5","5","January","Jan","1","CY2013-Jan","2013","CY2013","3","FY2013-Jan","2013","FY2013","1"
"2013-01-06","6","6","January","Jan","1","CY2013-Jan","2013","CY2013","3","FY2013-Jan","2013","FY2013","1"
"2013-01-07","7","7","January","Jan","1","CY2013-Jan","2013","CY2013","3","FY2013-Jan","2013","FY2013","2"
"2013-01-08","8","8","January","Jan","1","CY2013-Jan","2013","CY2013","3","FY2013-Jan","2013","FY2013","2"
"2013-01-09","9","9","January","Jan","1","CY2013-Jan","2013","CY2013","3","FY2013-Jan","2013","FY2013","2"
"2013-01-10","10","10","January","Jan","1","CY2013-Jan","2013","CY2013","3","FY2013-Jan","2013","FY2013","2"
"2013-01-11","11","11","January","Jan","1","CY2013-Jan","2013","CY2013","3","FY2013-Jan","2013","FY2013","2"
"2013-01-12","12","12","January","Jan","1","CY2013-Jan","2013","CY2013","3","FY2013-Jan","2013","FY2013","2"
"2013-01-13","13","13","January","Jan","1","CY2013-Jan","2013","CY2013","3","FY2013-Jan","2013","FY2013","2"
"2013-01-14","14","14","January","Jan","1","CY2013-Jan","2013","CY2013","3","FY2013-Jan","2013","FY2013","3"
"2013-01-15","15","15","January","Jan","1","CY2013-Jan","2013","CY2013","3","FY2013-Jan","2013","FY2013","3"
"2013-01-16","16","16","January","Jan","1","CY2013-Jan","2013","CY2013","3","FY2013-Jan","2013","FY2013","3"
"2013-01-17","17","17","January","Jan","1","CY2013-Jan","2013","CY2013","3","FY2013-Jan","2013","FY2013","3"
"2013-01-18","18","18","January","Jan","1","CY2013-Jan","2013","CY2013","3","FY2013-Jan","2013","FY2013","3"
"2013-01-19","19","19","January","Jan","1","CY2013-Jan","2013","CY2013","3","FY2013-Jan","2013","FY2013","3"
"2013-01-20","20","20","January","Jan","1","CY2013-Jan","2013","CY2013","3","FY2013-Jan","2013","FY2013","3"
"2013-01-21","21","21","January","Jan","1","CY2013-Jan","2013","CY2013","3","FY2013-Jan","2013","FY2013","4"
"2013-01-22","22","22","January","Jan","1","CY2013-Jan","2013","CY2013","3","FY2013-Jan","2013","FY2013","4"
"2013-01-23","23","23","January","Jan","1","CY2013-Jan","2013","CY2013","3","FY2013-Jan","2013","FY2013","4"
"2013-01-24","24","24","January","Jan","1","CY2013-Jan","2013","CY2013","3","FY2013-Jan","2013","FY2013","4"
"2013-01-25","25","25","January","Jan","1","CY2013-Jan","2013","CY2013","3","FY2013-Jan","2013","FY2013","4"
"2013-01-26","26","26","January","Jan","1","CY2013-Jan","2013","CY2013","3","FY2013-Jan","2013","FY2013","4"
"2013-01-27","27","27","January","Jan","1","CY2013-Jan","2013","CY2013","3","FY2013-Jan","2013","FY2013","4"
"2013-01-28","28","28","January","Jan","1","CY2013-Jan","2013","CY2013","3","FY2013-Jan","2013","FY2013","5"
"2013-01-29","29","29","January","Jan","1","CY2013-Jan","2013","CY2013","3","FY2013-Jan","2013","FY2013","5"
"2013-01-30","30","30","January","Jan","1","CY2013-Jan","2013","CY2013","3","FY2013-Jan","2013","FY2013","5"
"2013-01-31","31","31","January","Jan","1","CY2013-Jan","2013","CY2013","3","FY2013-Jan","2013","FY2013","5"
"2013-02-01","1","1","February","Feb","2","CY2013-Feb","2013","CY2013","4","FY2013-Feb","2013","FY2013","5"
"2013-02-02","2","2","February","Feb","2","CY2013-Feb","2013","CY2013","4","FY2013-Feb","2013","FY2013","5"
"2013-02-03","3","3","February","Feb","2","CY2013-Feb","2013","CY2013","4","FY2013-Feb","2013","FY2013","5"
"2013-02-04","4","4","February","Feb","2","CY2013-Feb","2013","CY2013","4","FY2013-Feb","2013","FY2013","6"
"2013-02-05","5","5","February","Feb","2","CY2013-Feb","2013","CY2013","4","FY2013-Feb","2013","FY2013","6"
"2013-02-06","6","6","February","Feb","2","CY2013-Feb","2013","CY2013","4","FY2013-Feb","2013","FY2013","6"
"2013-02-07","7","7","February","Feb","2","CY2013-Feb","2013","CY2013","4","FY2013-Feb","2013","FY2013","6"
"2013-02-08","8","8","February","Feb","2","CY2013-Feb","2013","CY2013","4","FY2013-Feb","2013","FY2013","6"
"2013-02-09","9","9","February","Feb","2","CY2013-Feb","2013","CY2013","4","FY2013-Feb","2013","FY2013","6"
"2013-02-10","10","10","February","Feb","2","CY2013-Feb","2013","CY2013","4","FY2013-Feb","2013","FY2013","6"
"2013-02-11","11","11","February","Feb","2","CY2013-Feb","2013","CY2013","4","FY2013-Feb","2013","FY2013","7"
"2013-02-12","12","12","February","Feb","2","CY2013-Feb","2013","CY2013","4","FY2013-Feb","2013","FY2013","7"
"2013-02-13","13","13","February","Feb","2","CY2013-Feb","2013","CY2013","4","FY2013-Feb","2013","FY2013","7"
"2013-02-14","14","14","February","Feb","2","CY2013-Feb","2013","CY2013","4","FY2013-Feb","2013","FY2013","7"
"2013-02-15","15","15","February","Feb","2","CY2013-Feb","2013","CY2013","4","FY2013-Feb","2013","FY2013","7"
"2013-02-16","16","16","February","Feb","2","CY2013-Feb","2013","CY2013","4","FY2013-Feb","2013","FY2013","7"
"2013-02-17","17","17","February","Feb","2","CY2013-Feb","2013","CY2013","4","FY2013-Feb","2013","FY2013","7"
"2013-02-18","18","18","February","Feb","2","CY2013-Feb","2013","CY2013","4","FY2013-Feb","2013","FY2013","8"
"2013-02-19","19","19","February","Feb","2","CY2013-Feb","2013","CY2013","4","FY2013-Feb","2013","FY2013","8"
"2013-02-20","20","20","February","Feb","2","CY2013-Feb","2013","CY2013","4","FY2013-Feb","2013","FY2013","8"
"2013-02-21","21","21","February","Feb","2","CY2013-Feb","2013","CY2013","4","FY2013-Feb","2013","FY2013","8"
"2013-02-22","22","22","February","Feb","2","CY2013-Feb","2013","CY2013","4","FY2013-Feb","2013","FY2013","8"
"2013-02-23","23","23","February","Feb","2","CY2013-Feb","2013","CY2013","4","FY2013-Feb","2013","FY2013","8"
"2013-02-24","24","24","February","Feb","2","CY2013-Feb","2013","CY2013","4","FY2013-Feb","2013","FY2013","8"
"2013-02-25","25","25","February","Feb","2","CY2013-Feb","2013","CY2013","4","FY2013-Feb","2013","FY2013","9"
"2013-02-26","26","26","February","Feb","2","CY2013-Feb","2013","CY2013","4","FY2013-Feb","2013","FY2013","9"
"2013-02-27","27","27","February","Feb","2","CY2013-Feb","2013","CY2013","4","FY2013-Feb","2013","FY2013","9"
"2013-02-28","28","28","February","Feb","2","CY2013-Feb","2013","CY2013","4","FY2013-Feb","2013","FY2013","9"
"2013-03-01","1","1","March","Mar","3","CY2013-Mar","2013","CY2013","5","FY2013-Mar","2013","FY2013","9"
"2013-03-02","2","2","March","Mar","3","CY2013-Mar","2013","CY2013","5","FY2013-Mar","2013","FY2013","9"
"2013-03-03","3","3","March","Mar","3","CY2013-Mar","2013","CY2013","5","FY2013-Mar","2013","FY2013","9"
"2013-03-04","4","4","March","Mar","3","CY2013-Mar","2013","CY2013","5","FY2013-Mar","2013","FY2013","10"
"2013-03-05","5","5","March","Mar","3","CY2013-Mar","2013","CY2013","5","FY2013-Mar","2013","FY2013","10"
"2013-03-06","6","6","March","Mar","3","CY2013-Mar","2013","CY2013","5","FY2013-Mar","2013","FY2013","10"
"2013-03-07","7","7","March","Mar","3","CY2013-Mar","2013","CY2013","5","FY2013-Mar","2013","FY2013","10"
"2013-03-08","8","8","March","Mar","3","CY2013-Mar","2013","CY2013","5","FY2013-Mar","2013","FY2013","10"
"2013-03-09","9","9","March","Mar","3","CY2013-Mar","2013","CY2013","5","FY2013-Mar","2013","FY2013","10"
"2013-03-10","10","10","March","Mar","3","CY2013-Mar","2013","CY2013","5","FY2013-Mar","2013","FY2013","10"
"2013-03-11","11","11","March","Mar","3","CY2013-Mar","2013","CY2013","5","FY2013-Mar","2013","FY2013","11"
"2013-03-12","12","12","March","Mar","3","CY2013-Mar","2013","CY2013","5","FY2013-Mar","2013","FY2013","11"
"2013-03-13","13","13","March","Mar","3","CY2013-Mar","2013","CY2013","5","FY2013-Mar","2013","FY2013","11"
"2013-03-14","14","14","March","Mar","3","CY2013-Mar","2013","CY2013","5","FY2013-Mar","2013","FY2013","11"
"2013-03-15","15","15","March","Mar","3","CY2013-Mar","2013","CY2013","5","FY2013-Mar","2013","FY2013","11"
"2013-03-16","16","16","March","Mar","3","CY2013-Mar","2013","CY2013","5","FY2013-Mar","2013","FY2013","11"
"2013-03-17","17","17","March","Mar","3","CY2013-Mar","2013","CY2013","5","FY2013-Mar","2013","FY2013","11"
