Stock Item Key;WWI Stock Item ID;Stock Item;Color;Selling Package;Buying Package;Brand;Size;Lead Time Days;Quantity Per Outer;Is Chiller Stock;Tax Rate;Unit Price;Recommended Retail Price;Typical Weight Per Unit
0;0;Unknown;N/A;N/A;N/A;N/A;N/A;0;0;False;0;0;0;0
2014;65;RC vintage American toy coupe with remote control (Black) 1/50 scale;Black;Each;Each;Northwind;1/50 scale;14;1;False;14;30;44,85;1,7
2015;43;Developer joke mug - understanding recursion requires understanding recursion (Black);Black;Each;Each;N/A;N/A;12;1;False;12;13;19,44;0,15
2016;42;Developer joke mug - understanding recursion requires understanding recursion (White);White;Each;Each;N/A;N/A;12;1;False;12;13;19,44;0,15
2017;65;RC vintage American toy coupe with remote control (Black) 1/50 scale;Black;Each;Each;Northwind;1/50 scale;14;1;False;14;30;44,85;1,7
2018;43;Developer joke mug - understanding recursion requires understanding recursion (Black);Black;Each;Each;N/A;N/A;12;1;False;12;13;19,44;0,15
2019;42;Developer joke mug - understanding recursion requires understanding recursion (White);White;Each;Each;N/A;N/A;12;1;False;12;13;19,44;0,15
2020;65;RC vintage American toy coupe with remote control (Black) 1/50 scale;Black;Each;Each;Northwind;1/50 scale;14;1;False;14;30;44,85;1,7
2021;65;RC vintage American toy coupe with remote control (Black) 1/50 scale;Black;Each;Each;Northwind;1/50 scale;14;1;False;14;30;44,85;1,7
2022;65;RC vintage American toy coupe with remote control (Black) 1/50 scale;Black;Each;Each;Northwind;1/50 scale;14;1;False;14;30;44,85;1,7
2023;42;Developer joke mug - understanding recursion requires understanding recursion (White);White;Each;Each;N/A;N/A;12;1;False;12;13;19,44;0,15
2024;43;Developer joke mug - understanding recursion requires understanding recursion (Black);Black;Each;Each;N/A;N/A;12;1;False;12;13;19,44;0,15
2025;66;RC big wheel monster truck with remote control (Black) 1/50 scale;Black;Each;Each;Northwind;1/50 scale;14;1;False;14;45;67,28;1,8
2026;64;RC vintage American toy coupe with remote control (Red) 1/50 scale;Red;Each;Each;Northwind;1/50 scale;14;1;False;14;30;44,85;1,7
2027;57;IT joke mug - hardware: part of the computer that can be kicked (Black);Black;Each;Each;N/A;N/A;12;1;False;12;13;19,44;0,15
2028;56;IT joke mug - hardware: part of the computer that can be kicked (White);White;Each;Each;N/A;N/A;12;1;False;12;13;19,44;0,15
2029;39;Developer joke mug - inheritance is the OO way to become wealthy (Black);Black;Each;Each;N/A;N/A;12;1;False;12;13;19,44;0,15
2030;38;Developer joke mug - inheritance is the OO way to become wealthy (White);White;Each;Each;N/A;N/A;12;1;False;12;13;19,44;0,15
2031;66;RC big wheel monster truck with remote control (Black) 1/50 scale;Black;Each;Each;Northwind;1/50 scale;14;1;False;14;45;67,28;1,8
2032;64;RC vintage American toy coupe with remote control (Red) 1/50 scale;Red;Each;Each;Northwind;1/50 scale;14;1;False;14;30;44,85;1,7
2033;57;IT joke mug - hardware: part of the computer that can be kicked (Black);Black;Each;Each;N/A;N/A;12;1;False;12;13;19,44;0,15
2034;56;IT joke mug - hardware: part of the computer that can be kicked (White);White;Each;Each;N/A;N/A;12;1;False;12;13;19,44;0,15
2035;39;Developer joke mug - inheritance is the OO way to become wealthy (Black);Black;Each;Each;N/A;N/A;12;1;False;12;13;19,44;0,15
2036;38;Developer joke mug - inheritance is the OO way to become wealthy (White);White;Each;Each;N/A;N/A;12;1;False;12;13;19,44;0,15
2037;66;RC big wheel monster truck with remote control (Black) 1/50 scale;Black;Each;Each;Northwind;1/50 scale;14;1;False;14;45;67,28;1,8
2038;64;RC vintage American toy coupe with remote control (Red) 1/50 scale;Red;Each;Each;Northwind;1/50 scale;14;1;False;14;30;44,85;1,7
2039;64;RC vintage American toy coupe with remote control (Red) 1/50 scale;Red;Each;Each;Northwind;1/50 scale;14;1;False;14;30;44,85;1,7
2040;66;RC big wheel monster truck with remote control (Black) 1/50 scale;Black;Each;Each;Northwind;1/50 scale;14;1;False;14;45;67,28;1,8
2041;64;RC vintage American toy coupe with remote control (Red) 1/50 scale;Red;Each;Each;Northwind;1/50 scale;14;1;False;14;30;44,85;1,7
2042;38;Developer joke mug - inheritance is the OO way to become wealthy (White);White;Each;Each;N/A;N/A;12;1;False;12;13;19,44;0,15
2043;39;Developer joke mug - inheritance is the OO way to become wealthy (Black);Black;Each;Each;N/A;N/A;12;1;False;12;13;19,44;0,15
2044;56;IT joke mug - hardware: part of the computer that can be kicked (White);White;Each;Each;N/A;N/A;12;1;False;12;13;19,44;0,15
2045;57;IT joke mug - hardware: part of the computer that can be kicked (Black);Black;Each;Each;N/A;N/A;12;1;False;12;13;19,44;0,15
2046;75;Ride on big wheel monster truck (Black) 1/12 scale;Black;Each;Each;Northwind;1/12 scale;14;1;False;14;345;515,78;21
2047;74;Ride on vintage American toy coupe (Black) 1/12 scale;Black;Each;Each;Northwind;1/12 scale;14;1;False;14;285;426,08;18
2048;63;RC toy sedan car with remote control (Pink) 1/50 scale;N/A;Each;Each;Northwind;1/50 scale;14;1;False;14;25;37,38;1,5
2049;62;RC toy sedan car with remote control (Yellow) 1/50 scale;Yellow;Each;Each;Northwind;1/50 scale;14;1;False;14;25;37,38;1,5
2050;61;RC toy sedan car with remote control (Green) 1/50 scale;N/A;Each;Each;Northwind;1/50 scale;14;1;False;14;25;37,38;1,5
2051;60;RC toy sedan car with remote control (Blue) 1/50 scale;Blue;Each;Each;Northwind;1/50 scale;14;1;False;14;25;37,38;1,5
2052;59;RC toy sedan car with remote control (Red) 1/50 scale;Red;Each;Each;Northwind;1/50 scale;14;1;False;14;25;37,38;1,5
2053;58;RC toy sedan car with remote control (Black) 1/50 scale;Black;Each;Each;Northwind;1/50 scale;14;1;False;14;25;37,38;1,5
2054;53;IT joke mug - keyboard not found … press F1 to continue (Black);Black;Each;Each;N/A;N/A;12;1;False;12;13;19,44;0,15
2055;52;IT joke mug - keyboard not found … press F1 to continue (White);White;Each;Each;N/A;N/A;12;1;False;12;13;19,44;0,15
2056;45;Developer joke mug - there are 10 types of people in the world (Black);Black;Each;Each;N/A;N/A;12;1;False;12;13;19,44;0,15
2057;44;Developer joke mug - there are 10 types of people in the world (White);White;Each;Each;N/A;N/A;12;1;False;12;13;19,44;0,15
2058;63;RC toy sedan car with remote control (Pink) 1/50 scale;N/A;Each;Each;Northwind;1/50 scale;14;1;False;14;25;37,38;1,5
2059;62;RC toy sedan car with remote control (Yellow) 1/50 scale;Yellow;Each;Each;Northwind;1/50 scale;14;1;False;14;25;37,38;1,5
2060;61;RC toy sedan car with remote control (Green) 1/50 scale;N/A;Each;Each;Northwind;1/50 scale;14;1;False;14;25;37,38;1,5
2061;60;RC toy sedan car with remote control (Blue) 1/50 scale;Blue;Each;Each;Northwind;1/50 scale;14;1;False;14;25;37,38;1,5
2062;59;RC toy sedan car with remote control (Red) 1/50 scale;Red;Each;Each;Northwind;1/50 scale;14;1;False;14;25;37,38;1,5
2063;58;RC toy sedan car with remote control (Black) 1/50 scale;Black;Each;Each;Northwind;1/50 scale;14;1;False;14;25;37,38;1,5
2064;53;IT joke mug - keyboard not found … press F1 to continue (Black);Black;Each;Each;N/A;N/A;12;1;False;12;13;19,44;0,15
2065;52;IT joke mug - keyboard not found … press F1 to continue (White);White;Each;Each;N/A;N/A;12;1;False;12;13;19,44;0,15
2066;45;Developer joke mug - there are 10 types of people in the world (Black);Black;Each;Each;N/A;N/A;12;1;False;12;13;19,44;0,15
2067;44;Developer joke mug - there are 10 types of people in the world (White);White;Each;Each;N/A;N/A;12;1;False;12;13;19,44;0,15
2068;75;Ride on big wheel monster truck (Black) 1/12 scale;Black;Each;Each;Northwind;1/12 scale;14;1;False;14;345;515,78;21
2069;74;Ride on vintage American toy coupe (Black) 1/12 scale;Black;Each;Each;Northwind;1/12 scale;14;1;False;14;285;426,08;18
2070;63;RC toy sedan car with remote control (Pink) 1/50 scale;N/A;Each;Each;Northwind;1/50 scale;14;1;False;14;25;37,38;1,5
2071;62;RC toy sedan car with remote control (Yellow) 1/50 scale;Yellow;Each;Each;Northwind;1/50 scale;14;1;False;14;25;37,38;1,5
2072;61;RC toy sedan car with remote control (Green) 1/50 scale;N/A;Each;Each;Northwind;1/50 scale;14;1;False;14;25;37,38;1,5
2073;60;RC toy sedan car with remote control (Blue) 1/50 scale;Blue;Each;Each;Northwind;1/50 scale;14;1;False;14;25;37,38;1,5
2074;59;RC toy sedan car with remote control (Red) 1/50 scale;Red;Each;Each;Northwind;1/50 scale;14;1;False;14;25;37,38;1,5
2075;58;RC toy sedan car with remote control (Black) 1/50 scale;Black;Each;Each;Northwind;1/50 scale;14;1;False;14;25;37,38;1,5
2076;58;RC toy sedan car with remote control (Black) 1/50 scale;Black;Each;Each;Northwind;1/50 scale;14;1;False;14;25;37,38;1,5
2077;59;RC toy sedan car with remote control (Red) 1/50 scale;Red;Each;Each;Northwind;1/50 scale;14;1;False;14;25;37,38;1,5
2078;60;RC toy sedan car with remote control (Blue) 1/50 scale;Blue;Each;Each;Northwind;1/50 scale;14;1;False;14;25;37,38;1,5
2079;61;RC toy sedan car with remote control (Green) 1/50 scale;N/A;Each;Each;Northwind;1/50 scale;14;1;False;14;25;37,38;1,5
2080;62;RC toy sedan car with remote control (Yellow) 1/50 scale;Yellow;Each;Each;Northwind;1/50 scale;14;1;False;14;25;37,38;1,5
2081;63;RC toy sedan car with remote control (Pink) 1/50 scale;N/A;Each;Each;Northwind;1/50 scale;14;1;False;14;25;37,38;1,5
2082;74;Ride on vintage American toy coupe (Black) 1/12 scale;Black;Each;Each;Northwind;1/12 scale;14;1;False;14;285;426,08;18
2083;74;Ride on vintage American toy coupe (Black) 1/12 scale;Black;Each;Each;Northwind;1/12 scale;14;1;False;14;285;426,08;18
2084;75;Ride on big wheel monster truck (Black) 1/12 scale;Black;Each;Each;Northwind;1/12 scale;14;1;False;14;345;515,78;21
2085;44;Developer joke mug - there are 10 types of people in the world (White);White;Each;Each;N/A;N/A;12;1;False;12;13;19,44;0,15
2086;45;Developer joke mug - there are 10 types of people in the world (Black);Black;Each;Each;N/A;N/A;12;1;False;12;13;19,44;0,15
2087;52;IT joke mug - keyboard not found … press F1 to continue (White);White;Each;Each;N/A;N/A;12;1;False;12;13;19,44;0,15
2088;53;IT joke mug - keyboard not found … press F1 to continue (Black);Black;Each;Each;N/A;N/A;12;1;False;12;13;19,44;0,15
2089;202;Red and white urgent  heavy despatch tape  48mmx100m;N/A;Each;Each;N/A;48mmx100m;14;24;False;14;4,1;6,13;0,7
2090;198;Black and orange this way up despatch tape  48mmx100m;N/A;Each;Each;N/A;48mmx100m;14;24;False;14;4,1;6,13;0,7
2091;196;Black and orange handle with care despatch tape  48mmx100m;N/A;Each;Each;N/A;48mmx100m;14;24;False;14;4,1;6,13;0,7
2092;195;Black and orange handle with care despatch tape  48mmx75m;N/A;Each;Each;N/A;48mmx75m;14;24;False;14;3,7;5,53;0,5
